t,S_p,I_p,I_v
0.0,97.0,2.0,4.0
1.0,5.197714938852568,29.662907114360866,4.2997564577338165
2.0,7.825648864821274,39.42885486471012,3.863972656835982
3.0,11.341748695888123,42.52531699567511,3.307163388283154
4.0,15.892213179868001,43.36545147929002,2.649161850442403
5.0,20.654167956108516,43.3396352226726,2.094077259433458
6.0,26.503941329799186,42.95083683685024,1.5438590255117588
7.0,32.37403295297779,42.24890909875248,1.1668121091592776
8.0,38.556168511524774,41.36122311239297,0.8589282083703352
9.0,43.552766321530584,40.19334125279121,0.6494519084849509
10.0,46.62130181632287,38.81358041053435,0.5187939683917696
11.0,50.10254955571131,37.47368979693718,0.4098351109313148
12.0,52.672976226740154,36.06595074952802,0.3419537415708431
13.0,53.86543258852864,34.77721074831848,0.31043746842479536
14.0,54.89651651112717,33.43372616254386,0.26506969340454933
15.0,55.6801873905385,32.277958499018375,0.2401256839846973
16.0,55.96701549309102,31.288126764818728,0.2251170165425912
17.0,56.23606693874649,30.482314621261963,0.21801401216408645
18.0,56.306968422088566,30.06769641348308,0.21104993482956735
19.0,57.199346614871956,29.54257964872986,0.20752799894206517
20.0,57.25018620292626,29.223530395985875,0.20573602307373612
21.0,57.31814283709655,29.138360243565856,0.20908455875124055
22.0,57.54636933073129,29.111930135937452,0.20443055775954241
23.0,57.82436182381842,28.999199658269227,0.19959800623339952
24.0,58.0108117714902,28.97782418271352,0.20282549203479427
25.0,58.08206758669258,28.978106033285478,0.20687163343715106
26.0,58.604187849031426,29.143372804849676,0.20679403766506854
27.0,58.10469384973586,29.124177861467683,0.20751504749151997
28.0,58.08240188481378,29.189851007194914,0.20860414475613845
29.0,58.25309836786368,29.253904946682326,0.20776745190611354
30.0,57.97700660595687,29.447375598838132,0.20833332976787214
31.0,57.94967601036333,29.329678596439567,0.20758875969250684
32.0,58.45904159624258,29.193760492908705,0.20709502946712136
33.0,58.178008602510324,29.213269684710344,0.20385156274285737
34.0,58.1175653613474,29.298490095778465,0.20410414283102143
35.0,57.68291331171857,29.12108520105724,0.20135801290830171
36.0,57.477451147456186,29.060379230911206,0.19863974131291254
37.0,58.2081173952334,28.91469031298557,0.19826497151768008
38.0,58.19168411942323,28.96880774931896,0.20226123058260226
39.0,58.26696692460629,28.90684384302038,0.20129110876767342
40.0,58.11815827538279,28.767632851923203,0.20112160064470427
41.0,58.24473234371699,28.778480134552296,0.19837157187109877
42.0,58.49656216337931,28.731831530943477,0.19940122881309427
43.0,57.9483896511546,28.821843013512915,0.19898933185438789
44.0,58.07897863059672,28.9389515132627,0.2030663916563872
45.0,57.96460120693031,29.090193984327044,0.20445564564246335
46.0,58.096243669774765,29.295616468918933,0.19761851441699585
47.0,58.41209117182303,29.114719813464898,0.20144404933851512
48.0,58.24250122334095,28.896915529251253,0.20410153734089737
49.0,58.542001349681264,29.10586528617213,0.20542438267133709
50.0,57.89203708277017,29.08633260078333,0.20934494474965026
